hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,24.4697,279.498,0.532486,4.05449,4.089306848390813
2,1,23.2266,279.232,0.328206,3.88043,3.8942850644676743
3,1,21.8438,279.499,0.226868,-1.34799,1.3669477420603906
4,1,26.2646,278.92,0.119523,-1.47126,1.4761069524695696
5,1,26.5068,278.837,0.282065,-1.90561,1.926372273555919
6,1,26.1689,277.9,-2.51921,-1.35198,2.8590678453824774
7,1,0.0,276.854,0.572313,-0.570104,0.8078123177972716
8,1,21.2695,278.512,0.191775,-1.43528,1.4480353341769667
9,1,146.551,280.0,0.0119076,4.24295,4.242966708971185
10,1,273.762,282.121,0.0454149,-0.111722,0.12059982763673421
11,1,368.871,283.968,-0.851576,0.52224,0.9989576073968305
12,1,447.501,286.453,-0.757621,-1.72859,1.8873295864106514
13,1,466.911,288.564,-2.0005,1.02665,2.2485574203253074
14,1,428.094,289.094,-0.00981712,0.62431,0.6243871811184903
15,1,337.409,289.936,-1.26686,-1.81922,2.2168661817980806
16,1,211.852,289.455,1.16891,-3.21335,3.419352103922613
17,1,69.414,287.455,0.0283642,-1.74337,1.7436007240023847
18,1,0.783203,285.565,-2.20261,0.527541,2.2649040418483515
19,1,0.0,284.581,1.93427,1.79316,2.637579044976662
20,1,12.9873,283.289,-0.578693,4.06754,4.108499390270005
21,1,25.0869,281.541,0.119097,-0.0644302,0.13540807243676428
22,1,25.7773,280.425,0.628869,0.607948,0.8746867952958933
23,1,26.9463,279.955,0.0617752,2.52011,2.5208670308913637
24,1,13.3857,278.508,0.435037,0.506126,0.6673984711137717
1,2,25.54,279.729,-2.78734,0.588665,2.848822696803892
2,2,23.6807,279.709,-3.09465,0.385798,3.1186052522408154
3,2,24.1895,280.211,-2.91278,0.989414,3.0762359128967987
4,2,27.7598,279.423,-3.94542,-0.129465,3.947543560573461
5,2,26.9316,279.438,-6.09538,-0.520849,6.117592747576533
6,2,26.5381,279.281,-5.29655,0.0298595,5.296634166358881
7,2,0.0,278.528,-3.29585,0.452846,3.326814801310106
8,2,19.7148,279.191,-4.10608,-0.0236597,4.106148164375476
9,2,137.582,280.941,-3.56817,-0.520229,3.605894529980182
10,2,267.019,283.351,-2.80029,-0.44473,2.8353851338045772
11,2,353.856,285.218,-3.00294,-0.907936,3.13719563044704
12,2,433.282,287.733,-1.78399,-0.0552502,1.7848453447568056
13,2,450.193,289.81,0.289539,-0.00899601,0.28967871982063176
14,2,416.312,290.233,1.32905,-1.47969,1.988933482698705
15,2,331.097,290.616,0.294664,-0.244997,0.3832106508240605
16,2,212.719,290.241,0.845177,-0.106904,0.851911161181141
17,2,72.5703,287.817,-0.241655,-0.121304,0.27039193671594575
18,2,1.18164,285.887,-3.64402,-0.815232,3.734097611769676
19,2,0.0,285.16,-2.20685,-0.86504,2.3703335470140066
20,2,14.0479,284.132,0.1049,-0.0345058,0.11042943553980523
21,2,26.7539,282.518,-2.13823,0.0805893,2.1397481553151274
