hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,20.4531,267.956,5.78996,0.501579,5.811645059261706
2,1,20.2812,267.205,3.74889,0.0134163,3.7489140066432154
3,1,19.9277,266.33,3.98771,-1.00571,4.112576278709004
4,1,19.1582,265.233,-0.0954981,3.2991,3.3004818886192377
5,1,18.71,265.263,0.220953,0.0202551,0.22187946566775846
6,1,18.4023,264.264,-0.68754,0.12268,0.6983993370558137
7,1,0.0,263.264,0.216429,0.549258,0.5903607901995186
8,1,9.60938,263.574,0.353705,1.41031,1.4539881440799303
9,1,129.104,265.388,0.336223,0.610877,0.697292345331569
10,1,281.038,267.234,-0.243762,1.07134,1.0987216700529756
11,1,401.714,269.593,0.815968,3.84028,3.9260099662919856
12,1,498.337,272.875,0.0228901,0.638035,0.6384454697959803
13,1,536.317,275.845,-1.97693,0.545943,2.050928078736307
14,1,524.96,276.938,2.33091,-0.276267,2.3472249324231793
15,1,453.131,277.843,3.22547,-1.53846,3.5735858591196603
16,1,332.925,278.325,2.67793,2.05185,3.3736326870896893
17,1,186.624,276.994,2.3233,2.1046,3.1348148350420955
18,1,44.9733,274.169,2.01167,-0.546906,2.0846875933184807
19,1,0.0,273.384,-1.4658,-0.210479,1.4808345786889905
20,1,20.3428,272.845,-0.682011,-2.14916,2.2547788604918666
21,1,21.3066,272.19,-0.899101,-1.65473,1.883219047562179
22,1,22.5361,271.81,0.0631866,-1.37512,1.3765709428938124
23,1,22.4082,271.716,3.01301,-0.81966,3.122510492488376
24,1,22.3506,270.748,4.03533,-0.546649,4.0721877827650586
1,2,21.0146,268.555,4.43693,0.800896,4.508634186504379
2,2,20.9717,268.185,-1.17591,-0.0813103,1.1787178173702517
3,2,20.0107,267.31,-1.38778,-1.95688,2.399023272667441
4,2,19.2236,266.361,-2.2747,0.196566,2.2831772341095204
5,2,18.5947,266.07,-4.35717,-0.51246,4.387202486836002
6,2,18.3594,265.3,-4.41117,-0.199586,4.415682884933655
7,2,0.0,264.578,-3.01502,-1.32721,3.2942118912571483
8,2,8.93359,264.877,-2.08819,-0.201509,2.097890214758866
9,2,116.002,266.499,-1.44307,1.67435,2.210406964203651
10,2,262.273,268.862,-1.63292,1.46148,2.191426822141228
11,2,383.448,270.983,-0.489208,1.52192,1.5986134472298172
12,2,478.931,274.049,-0.818419,0.0315895,0.8190284220167515
13,2,521.129,276.552,0.738893,-0.999467,1.2429389162537312
14,2,511.585,277.299,2.63657,1.72617,3.151374975118004
15,2,443.163,277.931,2.32899,-2.39588,3.3413224020588017
16,2,329.894,278.265,1.51387,2.0084,2.5150492911471933
17,2,188.21,276.544,1.19439,1.67637,2.0583449295489813
18,2,47.6178,274.253,1.4106,1.45651,2.027612818094224
19,2,0.0,273.416,0.784691,-3.3594,3.4498272892249258
20,2,21.1074,272.87,0.12756,-1.90551,1.9097748332460558
21,2,22.4111,272.561,-0.0475388,-0.795838,0.7972565833841951
22,2,23.7256,271.984,-1.39531,-0.333129,1.4345260286035246
23,2,22.9941,271.371,-0.513352,-0.0520821,0.5159872295361678
24,2,23.3594,270.981,-1.16242,0.270734,1.1935313800466245
1,3,22.6963,268.264,-0.705645,2.0465,2.1647395030407237
2,3,21.998,268.183,-1.45033,-1.22828,1.9005601456675871
3,3,20.7344,267.074,-0.897547,-3.43198,3.5474043098593935
4,3,19.9424,266.172,-2.08378,-1.55588,2.6005579522094866
5,3,20.2246,266.062,-2.19653,0.353751,2.2248334344172824
6,3,20.0342,265.19,-2.03422,-3.69959,4.221968400698897
7,3,0.0,264.328,-0.873903,1.88568,2.078339605504596
8,3,13.1562,265.163,-0.650689,-2.52377,2.6063022057353593
9,3,152.002,267.148,-0.154012,1.80961,1.816151989301556
10,3,316.132,268.606,-0.510852,0.396534,0.6466907909194316
11,3,444.823,270.384,-0.590282,1.72065,1.8190847319528576
12,3,538.087,273.227,-0.208555,-1.56704,1.5808572198731294
13,3,576.27,275.68,1.24378,3.48295,3.6983684768962655
14,3,547.523,276.241,3.32407,-1.34804,3.5870117377142776
15,3,462.678,276.802,2.76405,1.5968,3.1921376290034864
16,3,334.316,276.896,2.21016,-1.37979,2.605499504835877
17,3,178.14,275.837,2.82379,-2.63954,3.865353978059448
18,3,42.3991,274.118,3.14302,-2.19632,3.834370386751911
19,3,0.0,273.801,2.09475,-1.3721,2.5041237933656553
20,3,17.4893,273.558,2.75012,-2.44652,3.680845028631333
21,3,19.1836,272.856,2.21174,-2.36762,3.239971958520629
22,3,20.9033,272.261,-0.710739,-3.27551,3.3517332361363428
23,3,19.3008,271.782,-0.455247,-2.45101,2.4929299731659134
24,3,21.9512,271.643,1.58367,-2.55641,3.007198489790789
1,4,25.5332,268.632,-0.875566,-1.08143,1.3914405000775274
2,4,24.5713,268.001,0.028677,0.503162,0.5039785397941067
3,4,23.8965,267.155,0.017004,-0.897308,0.897469098565516
4,4,23.0,266.261,-0.0642481,-0.731169,0.7339863247463196
5,4,22.8145,266.065,-0.303949,-0.121346,0.327276406599987
6,4,22.9395,265.321,0.269491,0.0543203,0.2749110657523447
7,4,0.0,264.449,0.578245,-0.876523,1.0500761160763539
8,4,8.96484,264.966,0.288276,-0.154145,0.32690018843830604
9,4,113.533,266.53,0.139934,-0.659142,0.6738321011349935
10,4,258.085,268.425,-0.116321,1.2564,1.2617731709942956
11,4,383.605,270.616,0.0547371,2.2602,2.2608627092586606
12,4,480.29,274.2,0.26166,1.09702,1.1277937914352962
13,4,528.067,276.776,0.66858,2.80278,2.8814189117169335
14,4,513.71,277.526,1.81431,0.53135,1.890516754382251
15,4,440.85,278.45,1.77479,1.85168,2.5648778463115938
16,4,331.324,278.68,1.93672,-1.43545,2.4106847701223817
17,4,188.976,277.854,1.544,-2.98915,3.3643652778050126
18,4,48.1491,274.949,0.876419,-1.86624,2.0617861191600353
19,4,0.0,275.003,2.10452,-0.683135,2.2126178745153897
20,4,20.5371,273.293,0.219357,-3.30492,3.3121916761940273
21,4,21.9775,272.698,-0.159355,-1.59515,1.6030899970135801
22,4,23.123,271.874,0.025589,-1.47473,1.474951988988455
23,4,22.0391,272.026,0.162429,-2.94515,2.9496256885477856
24,4,23.8398,271.127,-0.0525599,-2.36257,2.3631545755595442
1,5,24.5762,268.209,-1.2159,-2.71668,2.9763674222783725
2,5,24.0869,267.485,-1.16712,-0.635509,1.3289246718610501
3,5,23.8867,266.589,-0.230066,-1.64194,1.6579798937128278
4,5,22.7705,265.545,-0.375772,-2.15549,2.1879994826516755
5,5,22.71,265.477,-0.0935001,1.17602,1.1797310325239436
6,5,21.5264,264.77,-0.125528,-2.10632,2.1100571606437586
7,5,0.0,263.733,-0.0555439,-0.522519,0.5254628723213562
8,5,14.1484,264.622,-1.09356,0.254546,1.1227943443551898
9,5,143.33,266.036,-1.16768,4.14847,4.309672832512928
10,5,301.101,267.468,-1.15148,0.770557,1.3855194984730457
11,5,419.355,269.238,-0.727001,3.85298,3.920967397773284
12,5,506.462,272.226,1.51898,-1.78238,2.3418323391737506
13,5,546.707,274.984,-0.193236,-1.0273,1.0453159530476899
14,5,528.569,276.254,-1.10854,2.57578,2.8041939198279424
15,5,451.96,277.659,2.32313,2.48742,3.403555678007927
16,5,329.816,278.589,2.4084,1.8414,3.0316900435235787
17,5,174.89,276.903,3.59381,2.1671,4.196640647720507
18,5,39.8912,274.442,3.54732,1.91452,4.030988217893969
19,5,0.0,273.892,2.73635,-1.79251,3.271192966273925
20,5,19.0166,273.163,1.37902,-0.612539,1.5089400872536325
21,5,20.7666,272.907,-1.0827,-0.817811,1.3568544954124595
22,5,23.1953,272.101,-1.17607,-0.223266,1.1970749148052513
23,5,22.8555,271.827,0.724929,0.126141,0.7358217222411961
24,5,23.9736,271.208,1.75701,-0.00856304,1.75703086647732
1,6,24.2021,269.229,-2.29598,-1.26014,2.619060323856631
2,6,23.9668,268.53,-2.03773,-0.537853,2.1075173552094415
3,6,23.9033,268.159,-1.54159,-0.850922,1.76084297374411
4,6,23.5762,267.449,-2.00077,-1.10666,2.2864332372715372
5,6,23.5771,266.996,-3.02856,-0.414804,3.05683464256999
6,6,23.4121,266.371,-2.72025,-2.53162,3.7160274335505115
7,6,0.0,265.87,-1.95447,0.0307035,1.9547111515035283
8,6,6.96484,265.956,-2.05889,1.37564,2.4761691060386
