hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,15.0049,276.593,-0.911736,6.05661,6.124849975778672
2,1,15.9189,276.418,0.128336,0.0657711,0.14420806666483676
3,1,16.8848,275.134,1.35142,0.422772,1.416005713400903
4,1,18.1953,276.42,-0.415589,0.209681,0.465489353994267
5,1,19.3105,276.358,-0.456456,0.527909,0.6978825060259068
6,1,21.1729,276.33,0.864911,0.463749,0.9813939947452297
7,1,0.0,276.203,-0.049799,0.010766,0.05094945688621225
8,1,25.4453,276.22,-0.851638,2.36357,2.512319730437191
9,1,111.043,276.845,0.633906,0.28355,0.6944331640525242
10,1,197.349,277.831,-0.391615,0.425747,0.5784659162249751
11,1,364.031,279.719,0.150888,0.176945,0.23254402071220837
12,1,443.161,282.094,2.27371,-0.478992,2.323615824563949
13,1,438.516,283.985,3.12769,0.275993,3.139843447076462
14,1,367.235,284.737,0.610178,0.184227,0.6373827572291236
15,1,291.292,285.706,0.701739,-0.973712,1.2002302625184051
16,1,171.831,285.985,0.748596,-0.61031,0.9658541646211399
17,1,62.7644,284.847,2.62618,2.19554,3.42304210958615
18,1,2.44141,283.704,1.51462,-0.7293,1.681056880179847
19,1,0.0,283.234,0.515563,1.33068,1.4270649842838272
20,1,12.5703,282.564,0.509537,0.796729,0.9457299053165232
21,1,13.9531,282.457,0.94605,1.30951,1.6154959122820458
22,1,15.5449,282.195,0.628418,-0.405582,0.7479344499673751
23,1,18.7168,281.83,0.765877,2.8556,2.9565214254473107
24,1,19.0908,281.941,3.82847,0.121664,3.830402677238517
1,2,14.5225,277.295,-0.350213,-0.307159,0.4658280762792213
2,2,16.0762,276.629,-0.0415854,0.0823727,0.0922746292241264
3,2,17.3438,276.069,8.28403,0.22746,8.287152170227115
4,2,18.4775,276.345,0.345153,-0.191687,0.3948094469209165
5,2,19.8945,276.176,-1.69767,0.775956,1.8665988167884389
6,2,20.9463,275.767,-1.37239,0.673222,1.5286210038410437
7,2,0.0,275.668,-1.38281,0.0522699,1.3837975424699995
8,2,33.9688,276.465,-3.26277,0.65263,3.3274004853338592
9,2,150.644,278.072,-1.9032,0.0145073,1.9032552907461704
10,2,231.896,279.358,-1.43947,0.523891,1.5318406120680441
11,2,304.921,280.858,-1.92138,-0.28204,1.9419700476577904
12,2,404.739,282.552,0.469997,1.2671,1.3514583197453778
13,2,385.688,284.052,-0.451897,1.19299,1.2757100135646031
14,2,298.454,284.557,0.971506,0.925926,1.3420740909174873
15,2,246.214,285.552,2.44197,0.752362,2.5552428573315686
16,2,156.956,286.133,2.73541,0.411175,2.766140406545734
17,2,60.2605,285.189,2.76681,0.88792,2.9057941259662563
18,2,3.21289,284.064,1.75681,0.171579,1.7651687537855976
19,2,0.0,283.75,1.41351,0.0543146,1.4145531435309033
20,2,13.3516,283.247,5.27272,-0.803369,5.333570844055696
21,2,14.6211,282.573,4.20191,-0.234438,4.208444941298864
22,2,16.2969,282.096,3.77344,1.71112,4.143281439632118
23,2,19.8105,281.94,4.08814,-0.51696,4.120696094253979
24,2,20.5615,282.028,4.0477,1.51961,4.323550605937208
1,3,13.4893,276.545,-0.920526,-0.958527,1.3289628009861676
2,3,15.377,275.308,-0.0161948,0.965185,0.965320856385088
3,3,16.5586,275.458,7.65903,0.208905,7.661878479845853
4,3,17.6318,274.612,0.298278,-0.822058,0.8744993542867827
5,3,19.6777,274.743,-1.21427,4.03182,4.210703521420143
6,3,18.6465,273.854,-0.49837,-0.011837,0.4985105530166839
7,3,0.0,274.26,-0.437494,0.807153,0.9180942029252772
8,3,33.7969,276.496,-1.82722,-0.372272,1.8647571880499618
9,3,158.722,277.463,-0.126836,0.36021,0.38188822317007887
10,3,290.865,278.477,-0.830091,1.52096,1.732734945074116
11,3,376.468,279.68,-0.802237,0.396183,0.8947319004361027
12,3,470.708,282.321,0.0901146,1.00734,1.011362702858455
13,3,404.391,284.463,1.92262,-0.182503,1.9312625428483305
14,3,301.704,284.819,-0.692068,-1.82554,1.9523202627192087
15,3,262.729,285.46,3.0992,0.492108,3.1380265970294134
16,3,147.902,285.553,-1.41498,2.69438,3.043329095710814
17,3,59.3972,284.492,3.31661,4.11497,5.285156572231328
18,3,3.10547,283.354,2.81736,2.89277,4.038023729808927
19,3,0.0,282.912,2.64154,-1.3036,2.945692878016987
20,3,11.4766,281.882,2.32155,-2.53481,3.4372745218559424
21,3,13.252,281.429,2.23609,1.73822,2.832226554585632
22,3,14.7939,281.464,0.786133,1.44598,1.645862465119428
23,3,17.832,280.853,1.24586,1.34925,1.8364756197946108
24,3,18.8643,280.611,1.41733,2.26961,2.6758090142982924
1,4,18.083,278.031,0.00916195,-2.35403,2.354047829214139
2,4,19.1279,277.594,0.49943,0.700537,0.8603385457301096
3,4,20.6758,278.095,4.52134,-0.61922,4.563545639521972
4,4,30.8525,278.766,-0.106996,-1.54178,1.545488179319402
5,4,34.5098,278.239,-0.566808,3.54256,3.587617964954463
6,4,34.8506,277.402,0.125653,1.58533,1.5903018220793812
7,4,0.0,277.525,-0.616205,1.62356,1.7365643309779801
8,4,28.4141,277.849,0.028245,-1.24385,1.244170648474316
9,4,126.816,278.384,0.545039,1.42857,1.5290126737280498
10,4,212.865,279.515,-0.481459,2.68551,2.728326726911753
11,4,337.343,281.006,-0.507315,0.612003,0.7949315575783867
12,4,411.005,283.185,0.875271,1.5796,1.8058891116126148
13,4,372.188,285.026,0.586189,1.09191,1.2393082715051167
14,4,294.954,285.736,2.69856,-2.55601,3.7169090913956992
15,4,251.925,286.66,1.13582,-1.92781,2.2375295458384454
16,4,143.972,286.91,2.28326,1.09037,2.530253537592626
17,4,63.3582,285.798,1.06515,2.82151,3.015868565206382
18,4,3.41016,284.802,4.20212,2.02705,4.6654843475142
19,4,0.0,284.177,0.0375357,-1.31385,1.3143860739046538
20,4,14.9521,283.296,3.07155,0.971534,3.22153654575825
21,4,16.3604,282.886,2.67652,2.59222,3.726038625511013
22,4,18.4219,282.27,-0.046875,1.97479,1.975346250591273
23,4,21.7227,282.012,-0.165276,2.4054,2.411071404205193
24,4,22.1387,282.047,0.319676,1.89022,1.91706139530689
1,5,16.5088,277.034,-1.23693,2.19626,2.520625678775014
2,5,17.4131,277.074,1.26017,1.30308,1.8127454082964878
3,5,18.1611,276.21,5.80161,2.50969,6.321172556432865
4,5,19.082,275.885,5.39203,1.50558,5.598281759370459
5,5,19.7939,275.951,-0.45548,3.35213,3.3829332785764485
6,5,20.0605,276.023,-0.0110655,0.518925,0.5190429663479219
7,5,0.0,276.567,-0.744135,2.75881,2.857406081453072
8,5,21.2031,277.068,-0.541091,0.127239,0.5558500098066024
9,5,91.7068,277.568,-0.96668,0.257183,1.0003066119390593
10,5,147.521,278.262,-0.413099,1.32711,1.3899178881865648
11,5,275.109,279.683,1.28565,0.515812,1.3852645746730117
12,5,449.958,282.12,0.406521,0.603528,0.7276711965063617
13,5,425.235,284.51,-1.13207,1.90343,2.2146395304428212
14,5,336.282,285.273,-1.67254,1.53335,2.269042149035579
15,5,273.276,286.294,3.08943,2.78166,4.157187761035097
16,5,155.019,286.87,3.79742,1.87748,4.236192843438551
17,5,59.198,285.386,4.64474,1.46751,4.871056894319753
18,5,2.53516,284.193,4.70603,1.13008,4.839813959988545
19,5,0.0,283.429,3.30316,0.978631,3.4450812210688158
20,5,14.8164,282.468,0.995377,1.88071,2.1278734633969663
21,5,15.7412,282.021,0.46314,1.5058,1.5754149610816828
22,5,16.5156,281.552,1.11328,1.3117,1.7204503039611463
23,5,19.25,281.106,-1.0769,2.5431,2.761715267727649
24,5,20.1699,280.723,-0.264796,3.66463,3.674184257561942
1,6,17.0088,281.115,4.89295,-1.04349,5.002982218897045
2,6,18.0527,280.782,4.32365,1.95933,4.746885649707606
3,6,20.6074,280.606,0.622901,-1.22225,1.3718238656259776
4,6,27.0625,280.015,0.247497,-0.8328,0.8687983684428741
5,6,32.7197,279.737,-0.36173,-1.51018,1.5528980086599378
6,6,29.7383,279.524,-1.07454,-1.23254,1.6351730988491708
7,6,0.0,279.487,-1.34081,0.0512934,1.3417907694508708
8,6,16.9297,280.026,-1.72468,0.973431,1.9804264727984728
9,6,127.785,280.907,-1.0907,-0.546528,1.2199669441357828
10,6,196.037,281.258,-1.334,-2.39115,2.7380931909816364
11,6,300.187,282.088,-1.71142,0.133488,1.7166180304727083
12,6,366.036,283.339,-1.42551,0.572766,1.5362746013834896
13,6,376.204,284.469,1.39137,-1.97108,2.412688716618868
14,6,298.61,285.177,0.244455,-1.46079,1.4811028563624473
15,6,229.8,286.099,4.67195,-1.58455,4.933347292153675
16,6,164.183,286.376,2.80621,-0.846149,2.931003700833726
