hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,22.8311,280.253,-3.49783,-2.58673,4.350400763355027
2,1,22.5713,280.39,-3.04782,1.14655,3.2563451375583643
3,1,23.9258,280.345,-1.36044,1.15532,1.7848140788328626
4,1,27.3311,280.347,-1.49904,-0.81855,1.7079651706343428
5,1,28.4629,280.47,2.87636,1.79865,3.392431085829158
6,1,23.4307,280.47,-0.207633,2.61628,2.62450614422771
7,1,0.0,280.469,1.89853,2.3999,3.0600549293926083
8,1,15.0391,280.594,-0.263333,1.06005,1.0922684062944419
9,1,54.2809,280.844,0.479737,3.64166,3.67312335006177
10,1,124.019,281.565,2.07708,0.053153,2.077759988018106
11,1,254.059,282.454,0.733406,0.695845,1.0109820101569562
12,1,389.447,283.813,0.834749,2.4516,2.589816297153333
13,1,337.719,284.19,2.31334,1.54876,2.7839180112208766
14,1,303.803,285.08,6.03493,0.0404587,6.035065617812759
15,1,308.77,284.954,6.36015,0.82932,6.4139909327110844
16,1,212.459,284.829,4.35287,2.3208,4.932908865659288
17,1,49.3417,283.079,6.54808,4.00589,7.676229958677632
18,1,1.84766,281.705,5.34377,3.33914,6.301248586788177
19,1,0.0,280.469,3.13938,-0.545519,3.1864239774017835
20,1,19.6152,279.879,1.68469,-2.30157,2.8522631121619897
21,1,14.6777,278.55,1.10055,-1.08655,1.5465449249860153
22,1,16.8262,277.704,3.60853,-1.35617,3.854956008802176
23,1,20.8457,277.05,-0.356459,-1.15261,1.2064712308136485
24,1,23.8467,276.049,1.13948,-0.607836,1.2914640038715752
1,2,22.6631,281.306,-3.75955,2.52948,4.531278547264558
2,2,22.9951,281.184,-2.98434,-2.16399,3.686344796095449
3,2,24.79,281.128,-0.505461,-1.02535,1.1431681613048013
4,2,25.1445,281.003,-1.60304,-1.28974,2.0574660408376126
5,2,28.1104,281.056,-2.46348,-0.319021,2.484050746027746
6,2,24.2295,281.052,-1.42638,2.24812,2.662443133439661
7,2,0.0,281.052,3.20517,1.63476,3.597993188778989
8,2,11.832,281.181,0.0120573,0.571765,0.5718921171936976
9,2,70.2653,281.601,-0.555907,0.892153,1.051175326983087
10,2,160.097,282.427,0.365162,1.3012,1.351467619384201
11,2,271.574,283.419,1.61768,4.45268,4.737430502371512
12,2,394.103,284.375,1.93338,0.176206,1.9413929995845767
13,2,401.532,285.549,5.75621,0.862727,5.8205026793764985
14,2,420.896,285.866,6.31276,1.06097,6.401296443572973
15,2,320.911,285.814,6.48026,0.56516,6.5048578380468856
16,2,218.483,284.935,7.3851,3.56201,8.199244919509358
17,2,83.6815,283.307,5.55784,4.20804,6.971168202475105
18,2,2.51074,281.887,5.2964,-0.510468,5.320942636321501
19,2,0.0,280.934,4.20579,-0.929308,4.307236107176388
20,2,18.1152,279.932,3.63879,-1.44024,3.9134491081014455
21,2,15.0518,278.76,2.04342,-1.44104,2.5004322782271067
22,2,18.1797,277.682,1.65297,-3.676,4.030544109782202
23,2,24.6221,277.057,1.73485,-0.57302,1.8270348773080387
24,2,25.2881,276.549,1.10676,2.83455,3.042957673070725
1,3,33.8184,279.291,-1.70535,-1.63947,2.3656036234754123
2,3,34.0225,278.856,-0.125943,0.829172,0.8386822072948728
3,3,35.1992,279.34,-0.484953,0.439498,0.6544752892302352
4,3,36.7451,279.214,-1.09523,-0.523628,1.2139666532833593
5,3,36.3066,279.101,-1.25938,-1.61297,2.0463895536529697
6,3,35.4951,278.804,-0.176383,0.336497,0.3799226154074011
7,3,0.0,278.979,0.032321,0.827142,0.8277732390002712
8,3,25.7266,279.525,0.399264,0.327136,0.51616829057198
9,3,111.234,280.2,3.99048,0.377993,4.008342467710188
10,3,272.691,281.526,-0.0073967,1.29925,1.2992710547344961
11,3,347.965,282.524,0.32032,1.12163,1.166472785494801
12,3,302.556,283.447,2.88211,1.30414,3.163437875429198
13,3,301.688,284.287,5.62047,0.0541334,5.620730686120405
14,3,440.053,284.242,6.92214,-1.75935,7.142221965334038
15,3,311.942,283.959,7.87675,-1.89236,8.100877540865557
