hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,23.8018,288.573,0.449154,-1.79111,1.8465682624306095
2,1,24.8955,288.777,0.419182,-2.30586,2.3436518275383826
3,1,24.2422,288.45,-0.166426,-2.44433,2.4499891351546843
4,1,26.499,287.698,-0.247446,-1.32882,1.3516627224703652
5,1,0.0,288.415,0.48847,-0.713816,0.8649486821517216
6,1,14.1523,289.526,0.741169,-1.37586,1.5627930848839202
7,1,59.0547,290.263,-2.06423,-2.45071,3.20421987338572
8,1,126.192,291.252,0.254217,-1.78828,1.8062590183827456
9,1,177.205,292.359,0.69257,-1.03345,1.2440547043438241
10,1,355.703,294.189,0.524437,-1.35308,1.4511580387294143
11,1,342.146,295.202,0.820955,-2.45828,2.5917383491442574
12,1,186.382,294.954,0.555176,-0.327711,0.6446820072694754
13,1,238.902,295.326,0.995407,2.13338,2.3541761446520946
14,1,685.822,297.843,0.21143,1.78909,1.8015398061103176
15,1,527.507,296.703,0.655066,1.87315,1.9843896761614137
16,1,212.643,295.345,3.08094,2.59805,4.0301433083824705
17,1,217.576,295.831,3.3361,2.73089,4.3113018221994155
18,1,233.394,294.734,1.57913,2.94407,3.340838176535942
19,1,91.0894,293.082,1.65247,3.46575,3.8395416605891906
20,1,10.1406,291.987,0.868956,2.72169,2.8570405992978123
21,1,0.0,291.255,0.399204,2.28117,2.31583686871852
22,1,24.8945,289.175,1.11821,1.93706,2.236648172534071
23,1,21.54,286.756,2.42316,-0.526484,2.4796955030519374
24,1,15.0889,286.147,-0.0248299,1.83746,1.8376277576087086
1,2,25.5459,289.265,-2.11237,-0.147556,2.117517364754301
2,2,25.041,288.873,-4.20094,-0.780466,4.272823897699975
3,2,24.4248,289.129,-1.20402,-0.420889,1.275465291852742
4,2,26.9531,289.855,-1.92909,-1.14523,2.243421489823078
5,2,0.0,289.321,-3.5252,-0.130808,3.527626081781344
6,2,11.7422,289.356,0.551716,-1.84657,1.9272289198629207
7,2,66.4297,289.991,-0.634541,-0.781761,1.0068726542130342
8,2,105.098,290.822,-0.0387516,-0.507029,0.508507712177072
9,2,182.971,292.241,-1.11163,-1.53736,1.8971549822036153
10,2,228.953,293.366,1.83205,-2.87358,3.4079127363974564
11,2,165.474,294.314,-0.854826,-1.23367,1.500889456014666
12,2,158.241,294.677,-0.146973,0.637133,0.6538650643810234
13,2,445.762,297.049,0.979782,1.12264,1.4900648768171136
14,2,561.525,298.299,-0.959469,-0.134739,0.9688835637381821
15,2,462.492,297.674,2.20389,1.21592,2.5170603048993483
16,2,254.612,296.174,0.827034,-0.0494137,0.8285088719523105
17,2,207.295,296.549,-0.798662,0.633238,1.0192405775321154
18,2,172.284,295.424,-0.0126686,1.01829,1.018368802313759
