hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,34.1172,263.42,1.89255,2.37153,3.0341226150899043
2,1,33.3398,263.577,2.65194,-0.219914,2.661042639830486
3,1,32.0557,263.248,0.00333309,-0.0859518,0.08601640199513172
4,1,33.7842,263.029,0.0179148,0.18758,0.18843353326581763
5,1,30.3369,263.123,0.0346823,-2.02034,2.0206376660681373
6,1,28.3662,263.636,-0.35261,0.301083,0.4636645177162039
7,1,31.3906,263.78,2.21399,-0.693534,2.320073518071356
8,1,4.29004,264.375,2.67464,-0.148038,2.678733726790328
9,1,44.0735,265.5,0.0784254,-0.124768,0.14736891527442278
10,1,133.189,266.985,1.79439,-0.262731,1.8135222773544857
11,1,235.019,268.487,-0.722931,0.28443,0.7768717111988311
12,1,362.74,270.469,-1.25786,2.05059,2.4056456779210027
13,1,391.183,272.39,1.10657,0.319872,1.151874672559476
14,1,410.747,274.016,2.85663,2.5789,3.8485140206188673
15,1,311.432,274.207,-0.361426,3.40764,3.42675343774191
16,1,218.849,274.077,0.0712605,2.3925,2.39356101005599
17,1,71.4447,273.454,2.4074,3.80214,4.5002048108502795
18,1,2.75977,272.75,-0.354803,5.29166,5.30354133805036
19,1,0.0,272.004,1.74942,0.983733,2.007037855071249
20,1,21.1396,272.469,-0.0388708,2.81392,2.814188463037371
21,1,22.0723,272.608,4.64198,6.93601,8.346029777115584
22,1,22.5977,272.329,1.62674,7.0886,7.27286277799877
23,1,26.0693,272.097,2.05903,4.63731,5.073879046351027
24,1,33.043,271.734,0.609633,4.89012,4.927973823904607
1,2,32.7852,264.022,-0.691433,-0.938525,1.1657224236987123
2,2,33.2188,263.981,-1.73625,-1.85029,2.537348448006304
3,2,33.1406,263.78,-1.81991,0.00438023,1.819915271246124
4,2,30.917,263.912,-2.04361,-0.825115,2.2038957768744423
5,2,30.6621,264.461,-1.07616,0.270679,1.1096789926104758
6,2,29.9854,264.465,-0.491282,0.163387,0.5177386553976823
7,2,32.5,264.51,-0.947632,0.250314,0.9801344326264638
8,2,2.2832,264.825,-1.10612,1.13272,1.5832106785895552
9,2,38.593,266.022,-0.71845,1.00707,1.2370773570799847
10,2,99.8841,267.412,-0.0469141,0.836879,0.8381929332915006
11,2,219.425,269.332,-0.721466,-0.0544376,0.7235168563687788
12,2,320.35,271.383,-0.352582,0.342579,0.4916039442122083
13,2,380.23,273.37,1.33313,1.21538,1.80399116996176
14,2,365.247,274.347,1.64178,0.0203066,1.64190557779781
15,2,252.604,274.476,0.536523,0.503342,0.7356698298102213
16,2,207.209,274.677,-0.498564,1.95402,2.0166209912861666
17,2,51.9837,273.674,0.0509596,1.95595,1.9566137286986822
18,2,3.4082,272.755,0.63006,2.33854,2.421930002126403
19,2,0.0,272.442,1.39249,0.848479,1.6306271841046316
20,2,21.4277,272.375,0.910836,1.96236,2.163441468701199
21,2,21.8896,272.438,4.44569,1.1118,4.582603934020482
22,2,23.3838,272.06,-0.231173,-0.990503,1.0171219931443818
23,2,29.6211,271.174,1.46284,1.86387,2.3693695875696554
