hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,9.66406,293.123,1.45863,-0.0350552,1.459051179344659
2,1,10.1436,293.982,0.40864,7.12057,7.132286013228858
3,1,10.7344,293.56,0.0346041,0.96558,0.9661998655230759
4,1,11.0254,294.982,2.72325,4.03798,4.870459222999409
5,1,0.0,293.854,4.90214,1.42266,5.104403790375523
6,1,24.2305,294.565,0.134357,0.368849,0.39255749674410756
7,1,152.719,296.499,0.861438,1.71029,1.9149849377851516
8,1,322.902,297.524,0.158116,-0.432751,0.46073213199971197
9,1,488.923,298.904,0.939837,1.09212,1.4408399220485946
10,1,649.03,301.551,0.0157003,3.82821,3.8282421949923817
11,1,774.754,302.94,-1.58334,4.63281,4.895905845877758
12,1,848.785,303.204,3.1478,5.13333,6.02160458091529
13,1,870.685,303.33,3.17376,4.33606,5.373468978341645
14,1,845.144,303.83,1.62489,3.40338,3.7713741443272366
15,1,762.621,303.707,3.73138,4.44694,5.805038507021293
16,1,617.104,302.954,2.71825,4.34623,5.126265529154728
17,1,463.165,302.736,4.19418,4.30722,6.011928975029563
18,1,292.586,302.096,3.56549,3.32049,4.872204098783219
19,1,158.452,300.831,1.87578,3.66551,4.117585963704947
20,1,30.1406,299.301,2.71321,0.631618,2.7857583890251503
21,1,0.0,298.219,-0.596966,0.959117,1.1297228973712978
22,1,14.3887,297.343,1.05888,1.26642,1.650771477461372
23,1,13.1709,296.17,-0.0958786,0.450723,0.4608079086419416
24,1,14.5127,295.887,0.722149,2.20084,2.3162892487340607
1,2,11.1396,293.756,-1.46324,1.99522,2.474262343810777
2,2,11.8994,293.919,-1.25835,2.01852,2.3786272749003783
3,2,11.9434,294.067,-0.787173,1.56714,1.7537300566304381
4,2,11.9766,293.994,1.18907,2.52382,2.789902302465088
5,2,0.0,294.029,-2.15987,2.57988,3.364642511664501
6,2,21.3613,295.005,-2.00041,2.2917,3.041961383400519
7,2,141.328,296.447,-1.75721,3.27572,3.7172743378045157
8,2,306.121,297.94,-2.24716,4.38268,4.925201726630088
9,2,475.095,299.461,-1.28868,1.0594,1.6682399414952276
10,2,630.577,301.796,0.0235128,3.66855,3.6686253494004863
11,2,748.691,303.263,-0.411461,5.40917,5.424796792822842
12,2,822.253,304.056,3.41343,4.55667,5.693394932182379
13,2,849.544,304.059,1.37493,3.59925,3.8529252610711255
14,2,826.253,304.556,3.34266,2.52008,4.186189088180322
15,2,754.511,304.508,1.06976,3.68864,3.840631654715146
16,2,604.261,304.132,2.43895,2.93803,3.8184417480694925
17,2,460.134,304.011,3.27914,2.95224,4.412310070382634
18,2,331.102,303.064,1.65094,3.60222,3.9625234146942274
19,2,166.889,302.057,0.262986,2.87547,2.8874711006512257
20,2,33.4844,299.944,-3.02312,-0.822972,3.1331354019869617
21,2,0.0,298.618,-3.00468,1.25843,3.2575677993404835
22,2,14.833,297.383,-3.15108,2.77912,4.201525097009418
23,2,13.1064,297.052,-3.84393,-0.0219336,3.8439925764378056
24,2,15.0156,296.281,-2.98488,1.59391,3.3837933894521397
1,3,10.9248,294.604,-0.448595,2.77207,2.8081327530807725
2,3,11.4404,295.235,-1.24468,3.54587,3.757981154729225
3,3,10.0605,295.149,-0.214908,3.55591,3.5623982619246823
4,3,9.5293,295.077,0.246688,4.22109,4.2282922980139395
5,3,0.0,295.202,0.879189,3.85527,3.954248357225555
6,3,25.998,295.467,-0.0424004,1.99287,1.9933210054630337
7,3,170.625,296.661,0.159289,2.75863,2.763225011181862
8,3,358.324,297.722,0.267003,2.68053,2.693795033574195
9,3,538.814,298.834,0.278704,2.4764,2.4920338841227663
10,3,694.546,299.835,0.433181,3.63339,3.659121297642509
11,3,811.051,301.163,-0.233727,3.37206,3.380150433653656
12,3,874.8,301.854,-0.685205,3.26126,3.332464955498407
13,3,887.201,302.071,0.640064,3.17932,3.2431092467716844
14,3,845.581,302.616,2.32313,2.54156,3.443321104762087
15,3,703.855,302.196,1.6015,3.36735,3.728786434283948
16,3,519.401,301.616,1.92577,3.27738,3.8012905383961377
17,3,406.821,301.27,0.85141,3.70517,3.801734303840814
18,3,203.211,300.414,-0.223568,2.21209,2.223358904613468
19,3,124.772,299.571,-0.587111,-0.0630016,0.5904816067614299
20,3,20.9102,298.558,-0.487472,-1.49827,1.5755767019361513
21,3,0.0,297.422,-1.17118,-0.347524,1.2216527833128366
22,3,12.4033,296.466,-0.837606,-0.500668,0.975834134194946
23,3,10.8945,296.451,-1.19891,-0.76998,1.424869954943257
24,3,11.835,296.003,-1.51223,-1.4266,2.0789485642747394
1,4,13.0107,293.906,-1.86949,3.35166,3.8377881150084354
2,4,13.5322,294.316,-0.291555,2.66501,2.6809107814556232
3,4,13.2637,294.156,-0.225162,3.79273,3.7994076879355814
4,4,12.3584,293.953,-1.86562,3.73671,4.176546373320904
5,4,0.0,293.712,-1.07345,2.28496,2.5245469106554546
6,4,19.4648,294.619,-1.35295,0.506056,1.4444951982045493
7,4,132.625,296.247,-1.21229,3.39437,3.6043577432047447
8,4,296.136,297.959,-1.96542,1.36705,2.3940972158414953
9,4,464.986,299.752,-2.57579,3.94759,4.71361442336982
10,4,616.405,301.153,-1.46965,2.34091,2.7640062862808397
11,4,733.535,302.779,-2.11068,4.5747,5.038139552692044
12,4,808.128,303.633,-1.75259,4.29495,4.63876785478644
13,4,835.451,303.854,0.833912,3.23987,3.3454695994200874
14,4,813.613,304.5,1.08973,2.07623,2.344833146686561
15,4,732.339,304.604,0.703059,2.89079,2.9750560972158153
16,4,572.807,304.334,1.37352,3.24809,3.5265628930305493
17,4,462.024,303.933,-0.938141,2.90976,3.057255598323601
18,4,323.696,302.788,0.514225,2.31463,2.371062923569301
19,4,161.28,301.927,-1.50899,1.42674,2.076689155290218
20,4,31.4648,300.295,-2.12468,-1.16965,2.4253548657670696
21,4,0.0,299.066,-1.2996,-0.536,1.4057937828856693
22,4,16.9727,297.392,-0.506063,0.749332,0.9042113725191694
23,4,15.1816,296.738,-1.84734,-1.27242,2.2431490659338715
24,4,14.5176,296.372,0.0781059,0.951333,0.9545339221336295
1,5,10.9268,293.444,-1.20641,-1.09072,1.6263748665360025
2,5,10.7627,293.508,-0.714407,0.147429,0.7294605347035575
3,5,10.7441,293.737,1.75384,-1.01587,2.0268069968549054
4,5,10.376,293.766,2.79454,-0.535258,2.845339160480522
5,5,0.0,293.749,-0.620323,5.04326,5.081266776299882
6,5,9.43164,293.914,-0.355877,-1.04961,1.108300316353379
7,5,49.3906,294.392,-0.913953,-0.942541,1.3128951301950966
8,5,99.3863,295.057,-1.1163,-1.29213,1.7075495972006203
9,5,235.111,296.387,-1.43419,-1.25017,1.9025840283677355
10,5,415.233,297.68,-1.00676,1.16464,1.5394648509141091
11,5,719.988,299.617,0.691078,3.19482,3.2687097813180053
12,5,858.894,301.572,1.79722,1.58694,2.397577588317008
13,5,873.607,303.419,3.38225,2.55286,4.237535751129423
14,5,838.925,304.214,2.46034,1.98297,3.1599751480826552
15,5,750.058,304.102,3.04681,1.20475,3.276350673935865
16,5,566.495,303.159,3.17479,2.064,3.7867383780900417
17,5,421.555,302.833,5.12485,1.98691,5.496535169595479
18,5,285.461,302.215,3.1446,1.23308,3.377720451191898
19,5,137.827,301.257,1.95683,1.08055,2.2353460473492692
20,5,22.5625,299.414,1.00081,-2.29953,2.507879358541794
21,5,0.0,298.487,0.551472,-1.26842,1.3831162869346887
22,5,14.8828,297.205,0.116983,0.420719,0.4366800879934875
23,5,12.2861,296.561,-0.315117,-0.610312,0.6868620393011976
24,5,12.8818,296.065,-0.197285,3.10075,3.107019783285102
1,6,9.68652,296.492,-2.94567,5.28135,6.047282825484516
2,6,9.90332,295.745,-1.89312,3.55466,4.027345409820221
3,6,10.0547,295.745,-0.355533,-0.0334435,0.3571024807828279
