hour,bus_id,net_downward_longwave_flux_W/m^2,temperature_2m_K,wind_u_93m_m/s,wind_v_93m_m/s,wind_speed_93m_m/s
1,1,43.916,261.829,1.93744,0.154724,1.943608311820054
2,1,45.7998,261.593,3.4746,-0.378618,3.4951676283011093
3,1,49.6602,261.22,1.20447,2.05754,2.384159984669653
4,1,49.2607,260.843,0.983405,1.56501,1.8483348436160045
5,1,50.5977,260.72,1.94805,1.60662,2.5250993301056495
6,1,50.3145,260.22,0.423731,2.32524,2.363533164133941
7,1,0.0,259.829,0.504629,1.70723,1.7802484940426153
8,1,21.6016,260.204,-0.593022,1.00617,1.1679268647411105
9,1,176.975,261.343,-0.0747728,1.63116,1.6328729029596392
10,1,363.167,262.72,-0.151711,1.50463,1.5122591260828944
11,1,514.133,264.454,0.0607939,1.42105,1.4223498165982973
12,1,615.544,266.205,0.172238,0.687958,0.709191186076082
13,1,656.85,267.829,0.177591,0.296656,0.34575040942419716
14,1,635.557,268.954,0.387764,0.299463,0.4899377593786786
15,1,554.78,269.954,0.150649,-1.4865,1.4941142430219316
16,1,421.55,270.689,1.85968,-1.55624,2.4249314711966603
17,1,250.147,270.691,2.18338,-1.70383,2.7695098651747028
18,1,73.7002,269.69,1.66634,-0.268562,1.6878431631653457
19,1,0.0,268.592,2.75505,1.22503,3.0151283560405853
20,1,23.7607,267.984,0.693051,1.32384,1.494279771060627
21,1,23.3877,266.998,0.911162,-0.135891,0.9212396833207958
22,1,23.4873,265.985,-1.15429,-0.456621,1.241325155525739
23,1,22.6924,265.316,-1.5193,2.19507,2.6695701517098214
24,1,22.2461,264.424,-0.956238,2.17435,2.375329247734722
1,2,43.8184,262.674,4.04487,-0.512268,4.07717939520988
2,2,47.3916,262.492,4.72948,-1.31417,4.908668236833693
3,2,46.2744,262.239,4.09314,-0.830153,4.1764756748973175
4,2,48.915,261.86,2.87305,-1.20745,3.1164646323999894
5,2,50.3936,261.663,3.06621,-0.905104,3.197007509361841
6,2,51.6172,261.357,2.34658,-1.35152,2.7079593805668503
7,2,0.0,261.156,1.71752,-1.88164,2.5476349895540373
8,2,19.3008,261.538,1.58764,-1.70281,2.3281242805529088
9,2,161.568,262.306,1.47601,-1.88544,2.394470612411019
10,2,340.995,263.75,1.25552,-1.82837,2.2179421379513036
11,2,488.727,265.25,1.10865,-1.60043,1.9469157679262858
12,2,589.919,266.806,0.526731,-1.33353,1.4337879226932415
13,2,634.381,268.307,1.00865,-1.22581,1.5874460553354246
14,2,618.073,269.435,1.2364,-1.35825,1.8367166418639538
15,2,542.061,270.557,1.63454,-0.186693,1.6451672522418503
16,2,414.3,271.307,1.36506,0.298252,1.3972627022517992
